"hh_id","name","area_name","employer","salary_from","salary_to","salary_currency","experience","schedule","url"
"103031959","Программист Python","Ташкент","YATT YULDASHEV PULAT BAXTIYOROVICH",NULL,"400","USD","Нет опыта","Гибкий график","https://hh.ru/vacancy/103031959"
"101250596","Продуктовый аналитик","Москва","Национальный туроператор Алеан",NULL,NULL,NULL,"От 3 до 6 лет","Полный день","https://hh.ru/vacancy/101250596"
"103129677","Начальник Отдела контроля реализации проектов","Москва","НОВАТЭК",NULL,NULL,NULL,"Более 6 лет","Полный день","https://hh.ru/vacancy/103129677"
"103107407","Web-программист - стажер","Алматы","Autodata",NULL,NULL,NULL,"Нет опыта","Полный день","https://hh.ru/vacancy/103107407"
"103120243","Junior+ Backend Разработчик (Python)","Москва","Авангард","80000","120000","RUR","От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/103120243"
"103058314","Стажер-разработчик","Санкт-Петербург","Крит","46000",NULL,"RUR","Нет опыта","Полный день","https://hh.ru/vacancy/103058314"
"101926206","Стажер в Data Scientist/ML","Сочи","DEVAKE LLC","50000",NULL,"RUR","Нет опыта","Удаленная работа","https://hh.ru/vacancy/101926206"
"102601909","Аналитик (Python/C++)","Москва","Яндекс",NULL,NULL,NULL,"От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/102601909"
"102404974","Стажер-разработчик Python","Ростов-на-Дону","Додо Пицца","100000",NULL,"RUR","Нет опыта","Полный день","https://hh.ru/vacancy/102404974"
"103135974","Backend разработчик","Алматы","РАМС КАЗАХСТАН",NULL,NULL,NULL,"От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/103135974"
"103119098","Стажер-разработчик Python","Гродно","Технологии пользовательских интерфейсов","1900",NULL,"BYR","Нет опыта","Полный день","https://hh.ru/vacancy/103119098"
"103110598","Junior программист Python","Москва","ПерилаГлавСнаб","60000",NULL,"RUR","От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/103110598"
"102695899","Data analyst (стажер)","Астана","U-FUTURE",NULL,NULL,NULL,"Нет опыта","Полный день","https://hh.ru/vacancy/102695899"
"103114641","Django backend developer (Junior+)","Санкт-Петербург","Ред Софт",NULL,NULL,NULL,"От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/103114641"
"101503409","IT Intern","Ташкент","Центр развития IT- знаний",NULL,NULL,NULL,"Нет опыта","Полный день","https://hh.ru/vacancy/101503409"
"103139340","Junior IOS developer","Санкт-Петербург","Emphasoft",NULL,NULL,NULL,"От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/103139340"
"103097277","Frontend-разработчик (стажер)","Тюмень","Anverali Group","15000",NULL,"RUR","От 1 года до 3 лет","Удаленная работа","https://hh.ru/vacancy/103097277"
"101091818","Python-Django Разработчик","Казань","Aydarv.PRO","70000",NULL,"RUR","От 1 года до 3 лет","Удаленная работа","https://hh.ru/vacancy/101091818"
"103112432","Python-разработчик","Нижний Новгород","Ю Би Эс Технологии",NULL,NULL,NULL,"От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/103112432"
"103114245","Back-end developer","Санкт-Петербург","АТОМ",NULL,NULL,NULL,"От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/103114245"
"103054877","Программист-стажер","Санкт-Петербург","ВАС Экспертс",NULL,NULL,NULL,"Нет опыта","Гибкий график","https://hh.ru/vacancy/103054877"
"102590497","Junoir Python developer","Куба (Азербайджан)","Emphasoft",NULL,"60000","RUR","Нет опыта","Полный день","https://hh.ru/vacancy/102590497"
"102070970","Стажер-Разработчик","Москва","Держава , АКБ",NULL,NULL,NULL,"Нет опыта","Гибкий график","https://hh.ru/vacancy/102070970"
"103124234","Руководитель разработки / СТО","Москва","Hi, Rockits!",NULL,"15000","USD","Более 6 лет","Удаленная работа","https://hh.ru/vacancy/103124234"
"102612686","Junoir Python developer","Санкт-Петербург","Emphasoft",NULL,"60000","RUR","Нет опыта","Полный день","https://hh.ru/vacancy/102612686"
"101501120","Разработчик Telegram-бота","Москва","TIMEBIZ CLUB","60000",NULL,"RUR","От 1 года до 3 лет","Удаленная работа","https://hh.ru/vacancy/101501120"
"102255852","Senior System administrator","Москва","IDF Lab",NULL,NULL,NULL,"От 3 до 6 лет","Полный день","https://hh.ru/vacancy/102255852"
"90294293","Тестировщик/QA-специалист","Москва","ТОП КЕЙС",NULL,NULL,NULL,"От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/90294293"
"103118953","Тестировщик-автоматизатор","Москва","Сикрет Технолоджис",NULL,NULL,NULL,"От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/103118953"
"102862284","Программист Python (Junior)","Москва","Спектр",NULL,"120000","RUR","Нет опыта","Удаленная работа","https://hh.ru/vacancy/102862284"
"102306596","Junior Python-разработчик","Москва","EasyDev","40000","60000","RUR","От 1 года до 3 лет","Гибкий график","https://hh.ru/vacancy/102306596"
"103078270","Middle QA engineer (HUB)","Москва","Swordfish Security","150000","200000","RUR","От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/103078270"
"102911946","Backend Разработчик (Удаленно)","Санкт-Петербург","PAVEPO","80000",NULL,"RUR","Нет опыта","Удаленная работа","https://hh.ru/vacancy/102911946"
"102989954","Frontend-разработчик","Санкт-Петербург","Траектория","50000","70000","RUR","От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/102989954"
